,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
0,health-0,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
14,health-14,US,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
17,health-17,US,Medical,null,null,null,Physical Theft,1076,Theft of Resources,null,3
20,health-20,US,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
28,health-28,US,Medical,null,null,null,Physical Theft,1100,Theft of Resources,null,3
63,health-63,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
64,health-64,US,Medical,null,null,null,Physical Theft,1105,Theft of Resources,null,3
71,health-71,US,Medical,null,null,null,Physical Theft,10515,Theft of Resources,null,3
72,health-72,US,Medical,null,null,null,Physical Theft,1020,Theft of Resources,null,3
73,health-73,US,Medical,null,null,null,null,1001,null,null,3
85,health-85,US,Medical,null,null,null,Physical Theft,105470,Theft of Resources,null,3
94,health-94,null,Medical,null,null,null,Physical Loss,1073,null,null,3
100,health-100,US,Medical,null,null,null,null,11440,null,null,3
107,health-107,US,Medical,null,null,null,Physical Theft,10100,Theft of Resources,null,3
109,health-109,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
112,health-112,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
137,health-137,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
139,health-139,US,Medical,null,null,null,Physical Theft,1023209,Theft of Resources,null,3
142,health-142,US,Medical,null,null,null,Physical Theft,1104,Theft of Resources,null,3
143,health-143,PR,Medical,null,null,null,null,115000,null,null,3
153,health-153,US,Medical,null,null,null,null,1000,null,null,3
154,health-154,null,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
155,health-155,US,Medical,null,null,null,null,1085,null,null,3
203,health-203,US,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
212,health-212,US,Medical,null,null,null,null,1070,null,null,3
227,health-227,US,Medical,null,null,null,null,1031,null,null,3
228,health-228,US,Medical,null,null,null,null,11387,null,null,3
235,health-235,US,Medical,null,null,null,Physical Theft,1105,Theft of Resources,null,3
242,health-242,US,Medical,null,null,null,Physical Theft,10190,Theft of Resources,null,3
258,health-258,US,Medical,null,null,null,Physical Theft,10345,Theft of Resources,null,3
284,health-284,US,Medical,null,null,null,Physical Loss,1055489,null,null,3
297,health-297,US,Medical,null,null,null,Physical Theft,1089,Theft of Resources,null,3
310,health-310,US,Medical,null,null,null,Physical Theft,10705,Theft of Resources,null,3
340,health-340,US,Medical,null,null,null,Physical Theft,10480,Theft of Resources,null,3
344,health-344,PR,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
357,health-357,US,Medical,null,null,null,null,1000,null,null,3
372,health-372,US,Medical,null,null,null,null,1134,null,null,3
379,health-379,US,Medical,null,null,null,null,1137,null,null,3
391,health-391,US,Medical,null,null,null,Physical Theft,11136,Theft of Resources,null,3
416,health-416,US,Medical,null,null,null,Physical Theft,105646,Theft of Resources,null,3
435,health-435,US,Medical,null,null,null,Physical Theft,116506,Theft of Resources,null,3
440,health-440,US,Medical,null,null,null,Physical Theft,1017,Theft of Resources,null,3
445,health-445,US,Medical,null,null,null,null,10271,null,null,3
458,health-458,US,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
473,health-473,US,Medical,null,null,null,Physical Theft,1090,Theft of Resources,null,3
483,health-483,US,Medical,null,null,null,Physical Theft,1105,Theft of Resources,null,3
491,health-491,US,Medical,null,null,null,Physical Theft,1103,Theft of Resources,null,3
492,health-492,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
505,health-505,US,Medical,null,null,null,Physical Theft,109000,Theft of Resources,null,3
525,health-525,US,Medical,null,null,null,Physical Theft,1025,Theft of Resources,null,3
531,health-531,US,Medical,null,null,null,Physical Theft,1076,Theft of Resources,null,3
542,health-542,US,Medical,null,null,null,null,1180,null,null,3
546,health-546,US,Medical,null,null,null,Physical Theft,10350,Theft of Resources,null,3
547,health-547,US,Medical,null,null,null,null,10000,null,null,3
558,health-558,US,Medical,null,null,null,Physical Theft,1167,Theft of Resources,null,3
562,health-562,US,Medical,null,null,null,null,1127,null,null,3
594,health-594,US,Medical,null,null,null,null,10000,null,null,3
604,health-604,US,Medical,null,null,null,Physical Theft,10000,Theft of Resources,null,3
616,health-616,US,Medical,null,null,null,null,1009,null,null,3
618,health-618,US,Medical,null,null,null,Physical Theft,10228,Theft of Resources,null,3
634,health-634,US,Medical,null,null,null,null,1067,null,null,3
642,health-642,US,null,null,null,null,null,10930,null,null,3
648,health-648,US,Medical,null,null,null,null,10680,null,null,3
655,health-655,US,Medical,null,null,null,Physical Theft,1100,Theft of Resources,null,3
656,health-656,US,Medical,null,null,null,Physical Theft,11500,Theft of Resources,null,3
666,health-666,US,Medical,null,null,null,Physical Loss,1039,null,null,3
717,health-717,US,Medical,null,null,null,null,1085,null,null,3
728,health-728,US,Medical,null,null,null,Physical Theft,1139,Theft of Resources,null,3
730,health-730,US,Medical,null,null,null,Physical Theft,1142,Theft of Resources,null,3
731,health-731,US,Medical,null,null,null,null,10024,null,null,3
744,health-744,US,Medical,null,null,null,null,1145,null,null,3
745,health-745,US,Medical,null,null,null,null,1179,null,null,3
754,health-754,US,Medical,null,null,null,null,1000,null,null,3
761,health-761,US,Medical,null,null,null,Physical Theft,1079,Theft of Resources,null,3
763,health-763,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
770,health-770,US,null,null,null,null,null,1000,null,null,3
783,health-783,US,Medical,null,null,null,null,10766,null,null,3
798,health-798,US,Medical,null,null,null,null,1008,null,null,3
799,health-799,US,Medical,null,null,null,Physical Theft,1000,Theft of Resources,null,3
813,health-813,US,Medical,null,null,null,null,1175,null,null,3
820,health-820,US,Medical,null,null,null,null,11000,null,null,3
831,health-831,US,Medical,null,null,null,null,1100,null,null,3
832,health-832,US,Medical,null,null,null,null,1062509,null,null,3
850,health-850,US,Medical,null,null,null,null,10104,null,null,3
853,health-853,US,Medical,null,null,null,null,11551,null,null,3
867,health-867,US,Medical,null,null,null,Physical Theft,10993,Theft of Resources,null,3
868,health-868,US,Medical,null,null,null,null,10604,null,null,3
