,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
12,health-12,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
16,health-16,US,Medical,null,null,null,Physical Theft,1860,Theft of Resources,null,0
18,health-18,US,Medical,null,null,null,Physical Theft,15500,Theft of Resources,null,0
31,health-31,US,Medical,null,null,null,null,1900,null,null,0
33,health-33,US,Medical,null,null,null,Physical Theft,12580,Theft of Resources,null,0
53,health-53,US,Medical,null,null,null,Physical Theft,1874,Theft of Resources,null,0
55,health-55,US,Medical,null,null,null,Physical Theft,180111,Theft of Resources,null,0
67,health-67,US,Medical,null,null,null,Physical Theft,1220000,Theft of Resources,null,0
69,health-69,US,Medical,null,null,null,Physical Theft,130495,Theft of Resources,null,0
70,health-70,US,Medical,null,null,null,Physical Loss,1745,null,null,0
76,health-76,US,Medical,null,null,null,Physical Loss,14000,null,null,0
80,health-80,US,Medical,null,null,null,Physical Theft,1537,Theft of Resources,null,0
91,health-91,US,Medical,null,null,null,Physical Theft,16820,Theft of Resources,null,0
93,health-93,US,Medical,null,null,null,Physical Theft,1646,Theft of Resources,null,0
97,health-97,US,Medical,null,null,null,null,1309,null,null,0
102,health-102,US,Medical,null,null,null,Physical Theft,13867,Theft of Resources,null,0
108,health-108,US,Medical,null,null,null,Physical Loss,1711,null,null,0
115,health-115,US,Medical,null,null,null,Physical Loss,1200,null,null,0
118,health-118,US,Medical,null,null,null,Physical Theft,1740,Theft of Resources,null,0
121,health-121,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
122,health-122,US,Medical,null,null,null,Physical Theft,1200,Theft of Resources,null,0
124,health-124,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
125,health-125,US,Medical,null,null,null,Physical Theft,1199,Theft of Resources,null,0
126,health-126,US,Medical,null,null,null,Physical Theft,1474,Theft of Resources,null,0
127,health-127,US,Medical,null,null,null,Physical Theft,1474,Theft of Resources,null,0
129,health-129,US,Medical,null,null,null,null,19200,null,null,0
135,health-135,US,Medical,null,null,null,null,1298,null,null,0
144,health-144,US,Medical,null,null,null,Physical Theft,12000,Theft of Resources,null,0
145,health-145,US,Medical,null,null,null,Physical Theft,1550,Theft of Resources,null,0
148,health-148,US,Medical,null,null,null,Physical Theft,1400,Theft of Resources,null,0
149,health-149,US,Medical,null,null,null,Physical Theft,1744,Theft of Resources,null,0
158,health-158,US,Medical,null,null,null,Physical Theft,1250,Theft of Resources,null,0
165,health-165,US,Medical,null,null,null,Physical Theft,2000,Theft of Resources,null,0
166,health-166,US,Medical,null,null,null,Physical Theft,156000,Theft of Resources,null,0
170,health-170,US,Medical,null,null,null,null,1848,null,null,0
171,health-171,US,Medical,null,null,null,Physical Theft,11982,Theft of Resources,null,0
