,typeId,country,industry,objectives,tool,vulnerability,action,records_affected,unauthorized_result,monetary_loss,cluster
1,health-1,US,Medical,null,null,null,Physical Theft,501,Theft of Resources,null,2
2,health-2,US,Medical,null,null,null,Physical Loss,3800,null,null,2
3,health-3,US,Medical,null,null,null,Physical Theft,5166,Theft of Resources,null,2
4,health-4,US,Medical,null,null,null,Physical Theft,5257,Theft of Resources,null,2
5,health-5,US,Medical,null,null,null,Physical Theft,857,Theft of Resources,null,2
6,health-6,US,Medical,null,null,null,Physical Theft,6145,Theft of Resources,null,2
7,health-7,US,Medical,null,null,null,Physical Theft,952,Theft of Resources,null,2
8,health-8,US,Medical,null,null,null,Physical Theft,5900,Theft of Resources,null,2
9,health-9,US,Medical,null,null,null,Physical Theft,943,Theft of Resources,null,2
10,health-10,US,Medical,null,null,null,Physical Theft,6400,Theft of Resources,null,2
11,health-11,US,Medical,null,null,null,Physical Theft,596,Theft of Resources,null,2
13,health-13,US,Medical,null,null,null,Physical Theft,646,Theft of Resources,null,2
15,health-15,US,Medical,null,null,null,null,610,null,null,2
19,health-19,US,Medical,null,null,null,Physical Theft,2562,Theft of Resources,null,2
21,health-21,US,Medical,null,null,null,Physical Loss,3800,null,null,2
22,health-22,US,Medical,null,null,null,Physical Theft,9309,Theft of Resources,null,2
23,health-23,US,Medical,null,null,null,Physical Theft,900,Theft of Resources,null,2
24,health-24,US,Medical,null,null,null,Physical Theft,812,Theft of Resources,null,2
25,health-25,US,Medical,null,null,null,Physical Theft,689,Theft of Resources,null,2
26,health-26,US,Medical,null,null,null,Physical Theft,7300,Theft of Resources,null,2
27,health-27,US,Medical,null,null,null,Physical Theft,5700,Theft of Resources,null,2
29,health-29,US,Medical,null,null,null,Physical Theft,8000,Theft of Resources,null,2
30,health-30,US,Medical,null,null,null,null,532,null,null,2
32,health-32,US,Medical,null,null,null,Physical Theft,3500,Theft of Resources,null,2
34,health-34,US,Medical,null,null,null,null,9023,null,null,2
35,health-35,US,Medical,null,null,null,Physical Theft,9500,Theft of Resources,null,2
36,health-36,US,Medical,null,null,null,Physical Theft,625,Theft of Resources,null,2
37,health-37,US,Medical,null,null,null,Physical Theft,21000,Theft of Resources,null,2
38,health-38,US,Medical,null,null,null,Physical Theft,5080,Theft of Resources,null,2
39,health-39,US,Medical,null,null,null,Physical Theft,2600,Theft of Resources,null,2
40,health-40,US,Medical,null,null,null,null,957,null,null,2
41,health-41,US,Medical,null,null,null,Physical Theft,2465,Theft of Resources,null,2
42,health-42,US,Medical,null,null,null,null,768,null,null,2
43,health-43,US,Medical,null,null,null,Physical Theft,2773,Theft of Resources,null,2
44,health-44,US,Medical,null,null,null,null,83945,null,null,2
45,health-45,US,Medical,null,null,null,Physical Theft,955,Theft of Resources,null,2
46,health-46,US,Medical,null,null,null,Physical Theft,344579,Theft of Resources,null,2
47,health-47,US,Medical,null,null,null,null,600,null,null,2
48,health-48,US,Medical,null,null,null,Physical Theft,54165,Theft of Resources,null,2
49,health-49,US,Medical,null,null,null,Physical Theft,3594,Theft of Resources,null,2
50,health-50,US,Medical,null,null,null,Physical Theft,22012,Theft of Resources,null,2
51,health-51,US,Medical,null,null,null,Physical Theft,5450,Theft of Resources,null,2
52,health-52,US,Medical,null,null,null,Physical Theft,5148,Theft of Resources,null,2
54,health-54,US,Medical,null,null,null,Physical Theft,500,Theft of Resources,null,2
56,health-56,US,Medical,null,null,null,Physical Theft,4200,Theft of Resources,null,2
57,health-57,US,Medical,null,null,null,null,2416,null,null,2
58,health-58,US,Medical,null,null,null,Physical Theft,40000,Theft of Resources,null,2
59,health-59,US,Medical,null,null,null,Physical Theft,656,Theft of Resources,null,2
60,health-60,US,Medical,null,null,null,Physical Theft,653,Theft of Resources,null,2
61,health-61,US,null,null,null,null,Physical Theft,800,Theft of Resources,null,2
62,health-62,US,Medical,null,null,null,Physical Loss,5220,null,null,2
65,health-65,US,Medical,null,null,null,null,708,null,null,2
66,health-66,US,Medical,null,null,null,Physical Theft,60998,Theft of Resources,null,2
68,health-68,US,Medical,null,null,null,Physical Theft,2300,Theft of Resources,null,2
74,health-74,US,Medical,null,null,null,Physical Theft,2027,Theft of Resources,null,2
75,health-75,US,Medical,null,null,null,Physical Theft,600,Theft of Resources,null,2
77,health-77,US,Medical,null,null,null,Physical Theft,7526,Theft of Resources,null,2
78,health-78,US,Medical,null,null,null,null,937,null,null,2
79,health-79,US,Medical,null,null,null,Physical Theft,5893,Theft of Resources,null,2
81,health-81,US,Medical,null,null,null,null,29000,null,null,2
82,health-82,US,Medical,null,null,null,Physical Theft,2563,Theft of Resources,null,2
83,health-83,US,Medical,null,null,null,Physical Theft,800,Theft of Resources,null,2
84,health-84,US,Medical,null,null,null,Physical Theft,3830,Theft of Resources,null,2
86,health-86,US,Medical,null,null,null,Physical Theft,669,Theft of Resources,null,2
87,health-87,US,Medical,null,null,null,Physical Loss,800000,null,null,2
88,health-88,US,Medical,null,null,null,Physical Theft,23753,Theft of Resources,null,2
89,health-89,US,Medical,null,null,null,null,27000,null,null,2
90,health-90,US,Medical,null,null,null,Physical Theft,540,Theft of Resources,null,2
92,health-92,US,Medical,null,null,null,Physical Theft,6873,Theft of Resources,null,2
95,health-95,US,Medical,null,null,null,null,31700,null,null,2
96,health-96,US,Medical,null,null,null,Physical Theft,694,Theft of Resources,null,2
98,health-98,US,Medical,null,null,null,null,560,null,null,2
99,health-99,US,Medical,null,null,null,Physical Theft,2089,Theft of Resources,null,2
101,health-101,US,Medical,null,null,null,Physical Theft,25000,Theft of Resources,null,2
103,health-103,US,Medical,null,null,null,null,2300,null,null,2
104,health-104,US,Medical,null,null,null,Physical Theft,21000,Theft of Resources,null,2
105,health-105,US,Medical,null,null,null,Physical Loss,5500,null,null,2
106,health-106,US,Medical,null,null,null,Physical Theft,2698,Theft of Resources,null,2
110,health-110,US,Medical,null,null,null,Physical Theft,4328,Theft of Resources,null,2
111,health-111,US,Medical,null,null,null,Physical Theft,7081,Theft of Resources,null,2
113,health-113,US,Medical,null,null,null,Physical Theft,956,Theft of Resources,null,2
114,health-114,US,Medical,null,null,null,Physical Theft,3630,Theft of Resources,null,2
116,health-116,US,Medical,null,null,null,null,22642,null,null,2
117,health-117,US,Medical,null,null,null,Physical Loss,857,null,null,2
119,health-119,US,Medical,null,null,null,Physical Theft,2739,Theft of Resources,null,2
120,health-120,US,Medical,null,null,null,Physical Loss,19222,null,null,2
123,health-123,US,Medical,null,null,null,Physical Theft,9000,Theft of Resources,null,2
128,health-128,US,Medical,null,null,null,Physical Theft,6800,Theft of Resources,null,2
130,health-130,US,Medical,null,null,null,Physical Theft,928,Theft of Resources,null,2
131,health-131,US,Medical,null,null,null,Physical Theft,4700,Theft of Resources,null,2
132,health-132,US,Medical,null,null,null,Physical Theft,578,Theft of Resources,null,2
133,health-133,US,Medical,null,null,null,null,692,null,null,2
134,health-134,US,Medical,null,null,null,Physical Theft,585,Theft of Resources,null,2
136,health-136,US,Medical,null,null,null,null,9493,null,null,2
138,health-138,US,Medical,null,null,null,Physical Theft,2500,Theft of Resources,null,2
140,health-140,null,Medical,null,null,null,null,475000,null,null,2
141,health-141,US,Medical,null,null,null,null,2345,null,null,2
146,health-146,US,Medical,null,null,null,Physical Theft,535,Theft of Resources,null,2
147,health-147,US,Medical,null,null,null,Physical Theft,3700,Theft of Resources,null,2
150,health-150,US,Medical,null,null,null,Physical Theft,542,Theft of Resources,null,2
151,health-151,US,Medical,null,null,null,Physical Theft,613,Theft of Resources,null,2
152,health-152,US,Medical,null,null,null,Physical Theft,800,Theft of Resources,null,2
156,health-156,US,Medical,null,null,null,Physical Theft,556,Theft of Resources,null,2
157,health-157,US,Medical,null,null,null,Physical Theft,3288,Theft of Resources,null,2
159,health-159,US,Medical,null,null,null,Physical Theft,757,Theft of Resources,null,2
160,health-160,US,Medical,null,null,null,null,585,null,null,2
161,health-161,US,Medical,null,null,null,Physical Theft,2928,Theft of Resources,null,2
162,health-162,US,Medical,null,null,null,Physical Theft,3159,Theft of Resources,null,2
163,health-163,US,Medical,null,null,null,null,24600,null,null,2
164,health-164,US,Medical,null,null,null,Physical Loss,808,null,null,2
167,health-167,US,Medical,null,null,null,Physical Theft,501,Theft of Resources,null,2
168,health-168,US,Medical,null,null,null,null,231400,null,null,2
169,health-169,US,Medical,null,null,null,Physical Theft,2200,Theft of Resources,null,2
173,health-173,US,Medical,null,null,null,Physical Theft,5596,Theft of Resources,null,2
174,health-174,US,Medical,null,null,null,Physical Theft,656,Theft of Resources,null,2
176,health-176,US,Medical,null,null,null,Physical Theft,4800,Theft of Resources,null,2
178,health-178,US,Medical,null,null,null,Physical Theft,4486,Theft of Resources,null,2
179,health-179,US,Medical,null,null,null,Physical Theft,8241,Theft of Resources,null,2
180,health-180,US,Medical,null,null,null,Physical Theft,500,Theft of Resources,null,2
182,health-182,US,Medical,null,null,null,Physical Theft,37000,Theft of Resources,null,2
183,health-183,US,Medical,null,null,null,null,800,null,null,2
185,health-185,US,Medical,null,null,null,null,2250,null,null,2
186,health-186,US,Medical,null,null,null,null,9922,null,null,2
187,health-187,US,Medical,null,null,null,Physical Theft,2700,Theft of Resources,null,2
188,health-188,US,Medical,null,null,null,null,3655,null,null,2
189,health-189,US,Medical,null,null,null,Physical Loss,2291,null,null,2
190,health-190,null,Medical,null,null,null,Physical Loss,2621,null,null,2
191,health-191,US,Medical,null,null,null,Physical Loss,2777,null,null,2
192,health-192,US,Medical,null,null,null,null,7366,null,null,2
193,health-193,US,Medical,null,null,null,null,942,null,null,2
194,health-194,US,Medical,null,null,null,Physical Theft,8845,Theft of Resources,null,2
195,health-195,US,Medical,null,null,null,Physical Theft,600,Theft of Resources,null,2
196,health-196,US,Medical,null,null,null,null,654,null,null,2
197,health-197,US,Medical,null,null,null,Physical Theft,20744,Theft of Resources,null,2
198,health-198,US,Medical,null,null,null,Physical Theft,670,Theft of Resources,null,2
199,health-199,US,Medical,null,null,null,Physical Theft,514330,Theft of Resources,null,2
200,health-200,US,Medical,null,null,null,Physical Theft,667,Theft of Resources,null,2
202,health-202,US,Medical,null,null,null,Physical Theft,635,Theft of Resources,null,2
204,health-204,US,Medical,null,null,null,Physical Theft,93500,Theft of Resources,null,2
205,health-205,US,Medical,null,null,null,Physical Theft,84000,Theft of Resources,null,2
206,health-206,US,Medical,null,null,null,null,935,null,null,2
209,health-209,US,Medical,null,null,null,null,675,null,null,2
211,health-211,US,Medical,null,null,null,null,6000,null,null,2
213,health-213,US,Medical,null,null,null,null,845,null,null,2
214,health-214,US,Medical,null,null,null,null,686,null,null,2
215,health-215,US,Medical,null,null,null,null,9393,null,null,2
216,health-216,US,Medical,null,null,null,null,532,null,null,2
217,health-217,US,Medical,null,null,null,null,500,null,null,2
218,health-218,US,Medical,null,null,null,Physical Theft,5960,Theft of Resources,null,2
220,health-220,US,Medical,null,null,null,Physical Theft,22001,Theft of Resources,null,2
221,health-221,US,Medical,null,null,null,Physical Theft,563,Theft of Resources,null,2
222,health-222,PR,Medical,null,null,null,Physical Theft,24361,Theft of Resources,null,2
223,health-223,US,Medical,null,null,null,null,850,null,null,2
224,health-224,null,Medical,null,null,null,Physical Theft,32390,Theft of Resources,null,2
225,health-225,US,Medical,null,null,null,Physical Theft,8000,Theft of Resources,null,2
226,health-226,US,Medical,null,null,null,Physical Theft,620,Theft of Resources,null,2
229,health-229,US,Medical,null,null,null,Physical Theft,400000,Theft of Resources,null,2
236,health-236,US,Medical,null,null,null,null,3463,null,null,2
237,health-237,US,Medical,null,null,null,Physical Theft,705,Theft of Resources,null,2
238,health-238,US,Medical,null,null,null,Physical Theft,810,Theft of Resources,null,2
239,health-239,US,Medical,null,null,null,Physical Theft,78042,Theft of Resources,null,2
241,health-241,US,Medical,null,null,null,Physical Theft,3589,Theft of Resources,null,2
244,health-244,US,Medical,null,null,null,Physical Theft,712,Theft of Resources,null,2
245,health-245,US,null,null,null,null,null,5000,null,null,2
246,health-246,PR,Medical,null,null,null,Physical Theft,2800,Theft of Resources,null,2
247,health-247,US,null,null,null,null,null,null,null,null,2
249,health-249,US,Medical,null,null,null,null,25330,null,null,2
251,health-251,US,Medical,null,null,null,Physical Theft,3604,Theft of Resources,null,2
253,health-253,US,Medical,null,null,null,Physical Theft,638,Theft of Resources,null,2
254,health-254,US,null,null,null,null,null,506,null,null,2
255,health-255,US,Medical,null,null,null,Physical Theft,8795,Theft of Resources,null,2
256,health-256,US,Medical,null,null,null,Physical Theft,63425,Theft of Resources,null,2
257,health-257,PR,Medical,null,null,null,Physical Theft,5848,Theft of Resources,null,2
259,health-259,US,Medical,null,null,null,null,815,null,null,2
260,health-260,US,Medical,null,null,null,Physical Theft,32008,Theft of Resources,null,2
262,health-262,US,Medical,null,null,null,null,3000,null,null,2
265,health-265,US,Medical,null,null,null,null,3116,null,null,2
